"ORDER_ID","SALES_DATE","SALES_REGION","SALES_QTY"
1,10-06-19,"EAST",2000
2,10-06-19,"EAST",2000
3,10-06-19,"EAST",2000
4,10-06-19,"EAST",2000
5,10-06-19,"EAST",2000
6,10-06-19,"EAST",2000
7,10-06-19,"EAST",2000
8,10-06-19,"EAST",2000
9,10-06-19,"EAST",2000
10,10-06-19,"EAST",2000
11,10-06-19,"EAST",2000
12,10-06-19,"EAST",2000
13,10-06-19,"EAST",2000
14,10-06-19,"EAST",2000
15,10-06-19,"EAST",2000
16,10-06-19,"EAST",2000
17,10-06-19,"EAST",2000
18,10-06-19,"EAST",2000
19,10-06-19,"EAST",2000
20,10-06-19,"EAST",2000
21,10-06-19,"EAST",2000
22,10-06-19,"EAST",2000
23,10-06-19,"EAST",2000
24,10-06-19,"EAST",2000
25,10-06-19,"EAST",2000
26,10-06-19,"EAST",2000
27,10-06-19,"EAST",2000
28,10-06-19,"EAST",2000
29,10-06-19,"EAST",2000
30,10-06-19,"EAST",2000
31,10-06-19,"EAST",2000
32,10-06-19,"EAST",2000
33,10-06-19,"EAST",2000
34,10-06-19,"EAST",2000
35,10-06-19,"EAST",2000
36,10-06-19,"EAST",2000
37,10-06-19,"EAST",2000
38,10-06-19,"EAST",2000
39,10-06-19,"EAST",2000
40,10-06-19,"EAST",2000
41,10-06-19,"EAST",2000
42,10-06-19,"EAST",2000
43,10-06-19,"EAST",2000
44,10-06-19,"EAST",2000
45,10-06-19,"EAST",2000
46,10-06-19,"EAST",2000
47,10-06-19,"EAST",2000
48,10-06-19,"EAST",2000
49,10-06-19,"EAST",2000
50,10-06-19,"EAST",2000
51,10-06-19,"EAST",2000
52,10-06-19,"EAST",2000
53,10-06-19,"EAST",2000
54,10-06-19,"EAST",2000
55,10-06-19,"EAST",2000
56,10-06-19,"EAST",2000
57,10-06-19,"EAST",2000
58,10-06-19,"EAST",2000
59,10-06-19,"EAST",2000
60,10-06-19,"EAST",2000
61,10-06-19,"EAST",2000
62,10-06-19,"EAST",2000
63,10-06-19,"EAST",2000
64,10-06-19,"EAST",2000
65,10-06-19,"EAST",2000
66,10-06-19,"EAST",2000
67,10-06-19,"EAST",2000
68,10-06-19,"EAST",2000
69,10-06-19,"EAST",2000
70,10-06-19,"EAST",2000
71,10-06-19,"EAST",2000
72,10-06-19,"EAST",2000
73,10-06-19,"EAST",2000
74,10-06-19,"EAST",2000
75,10-06-19,"EAST",2000
76,10-06-19,"EAST",2000
77,10-06-19,"EAST",2000
78,10-06-19,"EAST",2000
79,10-06-19,"EAST",2000
80,10-06-19,"EAST",2000
81,10-06-19,"EAST",2000
82,10-06-19,"EAST",2000
83,10-06-19,"EAST",2000
84,10-06-19,"EAST",2000
85,10-06-19,"EAST",2000
86,10-06-19,"EAST",2000
87,10-06-19,"EAST",2000
88,10-06-19,"EAST",2000
89,10-06-19,"EAST",2000
90,10-06-19,"EAST",2000
91,10-06-19,"EAST",2000
92,10-06-19,"EAST",2000
93,10-06-19,"EAST",2000
94,10-06-19,"EAST",2000
95,10-06-19,"EAST",2000
96,10-06-19,"EAST",2000
97,10-06-19,"EAST",2000
98,10-06-19,"EAST",2000
99,10-06-19,"EAST",2000
100,10-06-19,"EAST",2000
101,10-06-19,"EAST",2000
102,10-06-19,"EAST",2000
103,10-06-19,"EAST",2000
104,10-06-19,"EAST",2000
105,10-06-19,"EAST",2000
106,10-06-19,"EAST",2000
107,10-06-19,"EAST",2000
108,10-06-19,"EAST",2000
109,10-06-19,"EAST",2000
110,10-06-19,"EAST",2000
111,10-06-19,"EAST",2000
112,10-06-19,"EAST",2000
113,10-06-19,"EAST",2000
114,10-06-19,"EAST",2000
115,10-06-19,"EAST",2000
116,10-06-19,"EAST",2000
117,10-06-19,"EAST",2000
118,10-06-19,"EAST",2000
119,10-06-19,"EAST",2000
120,10-06-19,"EAST",2000
121,10-06-19,"EAST",2000
122,10-06-19,"EAST",2000
123,10-06-19,"EAST",2000
124,10-06-19,"EAST",2000
125,10-06-19,"EAST",2000
126,10-06-19,"EAST",2000
127,10-06-19,"EAST",2000
128,10-06-19,"EAST",2000
129,10-06-19,"EAST",2000
130,10-06-19,"EAST",2000
131,10-06-19,"EAST",2000
132,10-06-19,"EAST",2000
